dataset,model,detector,treatment,run,fold,score
cmc,mlp_deep,IsolationForest,remove,0,0,0.5263157894736842
cmc,mlp_deep,IsolationForest,remove,0,1,0.5052631578947369
cmc,mlp_deep,IsolationForest,remove,0,2,0.5212765957446809
cmc,mlp_deep,IsolationForest,remove,0,3,0.5319148936170213
cmc,mlp_deep,IsolationForest,remove,0,4,0.6063829787234043
cmc,mlp_deep,IsolationForest,remove,0,5,0.5957446808510638
cmc,mlp_deep,IsolationForest,remove,0,6,0.48936170212765956
cmc,mlp_deep,IsolationForest,remove,0,7,0.6170212765957447
cmc,mlp_deep,IsolationForest,remove,0,8,0.48936170212765956
cmc,mlp_deep,IsolationForest,remove,0,9,0.5425531914893617
cmc,mlp_deep,IsolationForest,remove,1,0,0.6105263157894737
cmc,mlp_deep,IsolationForest,remove,1,1,0.5473684210526316
cmc,mlp_deep,IsolationForest,remove,1,2,0.6170212765957447
cmc,mlp_deep,IsolationForest,remove,1,3,0.5531914893617021
cmc,mlp_deep,IsolationForest,remove,1,4,0.5212765957446809
cmc,mlp_deep,IsolationForest,remove,1,5,0.5212765957446809
cmc,mlp_deep,IsolationForest,remove,1,6,0.46808510638297873
cmc,mlp_deep,IsolationForest,remove,1,7,0.5851063829787234
cmc,mlp_deep,IsolationForest,remove,1,8,0.5425531914893617
cmc,mlp_deep,IsolationForest,remove,1,9,0.46808510638297873
cmc,mlp_deep,IsolationForest,remove,2,0,0.5684210526315789
cmc,mlp_deep,IsolationForest,remove,2,1,0.5789473684210527
cmc,mlp_deep,IsolationForest,remove,2,2,0.5319148936170213
cmc,mlp_deep,IsolationForest,remove,2,3,0.5212765957446809
cmc,mlp_deep,IsolationForest,remove,2,4,0.4787234042553192
cmc,mlp_deep,IsolationForest,remove,2,5,0.574468085106383
cmc,mlp_deep,IsolationForest,remove,2,6,0.4787234042553192
cmc,mlp_deep,IsolationForest,remove,2,7,0.4787234042553192
cmc,mlp_deep,IsolationForest,remove,2,8,0.5106382978723404
cmc,mlp_deep,IsolationForest,remove,2,9,0.5851063829787234
