dataset,model,detector,treatment,run,fold,score
splice,mlp,ZScore,clip,0,0,0.8731707317073171
splice,mlp,ZScore,clip,0,1,0.8676470588235294
splice,mlp,ZScore,clip,0,2,0.8578431372549019
splice,mlp,ZScore,clip,0,3,0.8676470588235294
splice,mlp,ZScore,clip,0,4,0.8872549019607843
splice,mlp,ZScore,clip,0,5,0.8333333333333334
splice,mlp,ZScore,clip,0,6,0.8774509803921569
splice,mlp,ZScore,clip,0,7,0.8676470588235294
splice,mlp,ZScore,clip,0,8,0.8872549019607843
splice,mlp,ZScore,clip,0,9,0.8529411764705882
splice,mlp,ZScore,clip,1,0,0.8390243902439024
splice,mlp,ZScore,clip,1,1,0.8480392156862745
splice,mlp,ZScore,clip,1,2,0.8774509803921569
splice,mlp,ZScore,clip,1,3,0.8774509803921569
splice,mlp,ZScore,clip,1,4,0.8725490196078431
splice,mlp,ZScore,clip,1,5,0.8676470588235294
splice,mlp,ZScore,clip,1,6,0.8676470588235294
splice,mlp,ZScore,clip,1,7,0.8578431372549019
splice,mlp,ZScore,clip,1,8,0.8725490196078431
splice,mlp,ZScore,clip,1,9,0.8480392156862745
splice,mlp,ZScore,clip,2,0,0.8682926829268293
splice,mlp,ZScore,clip,2,1,0.8725490196078431
splice,mlp,ZScore,clip,2,2,0.8578431372549019
splice,mlp,ZScore,clip,2,3,0.8382352941176471
splice,mlp,ZScore,clip,2,4,0.8578431372549019
splice,mlp,ZScore,clip,2,5,0.8872549019607843
splice,mlp,ZScore,clip,2,6,0.8823529411764706
splice,mlp,ZScore,clip,2,7,0.8774509803921569
splice,mlp,ZScore,clip,2,8,0.8578431372549019
splice,mlp,ZScore,clip,2,9,0.8480392156862745
