dataset,model,detector,treatment,run,fold,score
eucalyptus,mlp,IsolationForest,remove,0,0,0.425531914893617
eucalyptus,mlp,IsolationForest,remove,0,1,0.425531914893617
eucalyptus,mlp,IsolationForest,remove,0,2,0.574468085106383
eucalyptus,mlp,IsolationForest,remove,0,3,0.46808510638297873
eucalyptus,mlp,IsolationForest,remove,0,4,0.574468085106383
eucalyptus,mlp,IsolationForest,remove,0,5,0.5319148936170213
eucalyptus,mlp,IsolationForest,remove,0,6,0.574468085106383
eucalyptus,mlp,IsolationForest,remove,0,7,0.574468085106383
eucalyptus,mlp,IsolationForest,remove,0,8,0.5531914893617021
eucalyptus,mlp,IsolationForest,remove,0,9,0.48936170212765956
eucalyptus,mlp,IsolationForest,remove,1,0,0.44680851063829785
eucalyptus,mlp,IsolationForest,remove,1,1,0.44680851063829785
eucalyptus,mlp,IsolationForest,remove,1,2,0.44680851063829785
eucalyptus,mlp,IsolationForest,remove,1,3,0.48936170212765956
eucalyptus,mlp,IsolationForest,remove,1,4,0.6808510638297872
eucalyptus,mlp,IsolationForest,remove,1,5,0.5957446808510638
eucalyptus,mlp,IsolationForest,remove,1,6,0.6170212765957447
eucalyptus,mlp,IsolationForest,remove,1,7,0.5319148936170213
eucalyptus,mlp,IsolationForest,remove,1,8,0.6595744680851063
eucalyptus,mlp,IsolationForest,remove,1,9,0.48936170212765956
eucalyptus,mlp,IsolationForest,remove,2,0,0.5106382978723404
eucalyptus,mlp,IsolationForest,remove,2,1,0.6595744680851063
eucalyptus,mlp,IsolationForest,remove,2,2,0.44680851063829785
eucalyptus,mlp,IsolationForest,remove,2,3,0.5957446808510638
eucalyptus,mlp,IsolationForest,remove,2,4,0.5106382978723404
eucalyptus,mlp,IsolationForest,remove,2,5,0.6382978723404256
eucalyptus,mlp,IsolationForest,remove,2,6,0.46808510638297873
eucalyptus,mlp,IsolationForest,remove,2,7,0.5957446808510638
eucalyptus,mlp,IsolationForest,remove,2,8,0.5957446808510638
eucalyptus,mlp,IsolationForest,remove,2,9,0.5106382978723404
