dataset,model,detector,treatment,run,fold,score
pol,xgboost,None,remove,0,0,0.9845201238390093
pol,xgboost,None,remove,0,1,0.9798761609907121
pol,xgboost,None,remove,0,2,0.9782945736434109
pol,xgboost,None,remove,0,3,0.9844961240310077
pol,xgboost,None,remove,0,4,0.9844961240310077
pol,xgboost,None,remove,0,5,0.9798449612403101
pol,xgboost,None,remove,0,6,0.9844961240310077
pol,xgboost,None,remove,0,7,0.9922480620155039
pol,xgboost,None,remove,0,8,0.9906976744186047
pol,xgboost,None,remove,0,9,0.986046511627907
pol,xgboost,None,remove,1,0,0.9907120743034056
pol,xgboost,None,remove,1,1,0.9876160990712074
pol,xgboost,None,remove,1,2,0.9922480620155039
pol,xgboost,None,remove,1,3,0.9767441860465116
pol,xgboost,None,remove,1,4,0.9782945736434109
pol,xgboost,None,remove,1,5,0.9829457364341085
pol,xgboost,None,remove,1,6,0.9875968992248062
pol,xgboost,None,remove,1,7,0.9844961240310077
pol,xgboost,None,remove,1,8,0.986046511627907
pol,xgboost,None,remove,1,9,0.9782945736434109
pol,xgboost,None,remove,2,0,0.9798761609907121
pol,xgboost,None,remove,2,1,0.9891640866873065
pol,xgboost,None,remove,2,2,0.986046511627907
pol,xgboost,None,remove,2,3,0.9829457364341085
pol,xgboost,None,remove,2,4,0.9767441860465116
pol,xgboost,None,remove,2,5,0.9844961240310077
pol,xgboost,None,remove,2,6,0.9782945736434109
pol,xgboost,None,remove,2,7,0.986046511627907
pol,xgboost,None,remove,2,8,0.9813953488372092
pol,xgboost,None,remove,2,9,0.9906976744186047
