dataset,model,detector,treatment,run,fold,score
pol,mlp_deep,None,remove,0,0,0.9752321981424149
pol,mlp_deep,None,remove,0,1,0.978328173374613
pol,mlp_deep,None,remove,0,2,0.9751937984496124
pol,mlp_deep,None,remove,0,3,0.9844961240310077
pol,mlp_deep,None,remove,0,4,0.9906976744186047
pol,mlp_deep,None,remove,0,5,0.9798449612403101
pol,mlp_deep,None,remove,0,6,0.986046511627907
pol,mlp_deep,None,remove,0,7,0.9891472868217054
pol,mlp_deep,None,remove,0,8,0.9813953488372092
pol,mlp_deep,None,remove,0,9,0.9813953488372092
pol,mlp_deep,None,remove,1,0,0.9860681114551083
pol,mlp_deep,None,remove,1,1,0.9860681114551083
pol,mlp_deep,None,remove,1,2,0.9813953488372092
pol,mlp_deep,None,remove,1,3,0.986046511627907
pol,mlp_deep,None,remove,1,4,0.9798449612403101
pol,mlp_deep,None,remove,1,5,0.9767441860465116
pol,mlp_deep,None,remove,1,6,0.9844961240310077
pol,mlp_deep,None,remove,1,7,0.9798449612403101
pol,mlp_deep,None,remove,1,8,0.9813953488372092
pol,mlp_deep,None,remove,1,9,0.9798449612403101
pol,mlp_deep,None,remove,2,0,0.9674922600619195
pol,mlp_deep,None,remove,2,1,0.9736842105263158
pol,mlp_deep,None,remove,2,2,0.9891472868217054
pol,mlp_deep,None,remove,2,3,0.986046511627907
pol,mlp_deep,None,remove,2,4,0.9705426356589147
pol,mlp_deep,None,remove,2,5,0.9813953488372092
pol,mlp_deep,None,remove,2,6,0.9844961240310077
pol,mlp_deep,None,remove,2,7,0.9829457364341085
pol,mlp_deep,None,remove,2,8,0.9829457364341085
pol,mlp_deep,None,remove,2,9,0.9813953488372092
