dataset,model,detector,treatment,run,fold,score
vehicle,randomforest,ZScore,clip,0,0,0.7037037037037037
vehicle,randomforest,ZScore,clip,0,1,0.7592592592592593
vehicle,randomforest,ZScore,clip,0,2,0.7592592592592593
vehicle,randomforest,ZScore,clip,0,3,0.8148148148148148
vehicle,randomforest,ZScore,clip,0,4,0.7962962962962963
vehicle,randomforest,ZScore,clip,0,5,0.7222222222222222
vehicle,randomforest,ZScore,clip,0,6,0.6481481481481481
vehicle,randomforest,ZScore,clip,0,7,0.7777777777777778
vehicle,randomforest,ZScore,clip,0,8,0.7777777777777778
vehicle,randomforest,ZScore,clip,0,9,0.7777777777777778
vehicle,randomforest,ZScore,clip,1,0,0.8148148148148148
vehicle,randomforest,ZScore,clip,1,1,0.7222222222222222
vehicle,randomforest,ZScore,clip,1,2,0.7777777777777778
vehicle,randomforest,ZScore,clip,1,3,0.7037037037037037
vehicle,randomforest,ZScore,clip,1,4,0.6851851851851852
vehicle,randomforest,ZScore,clip,1,5,0.7777777777777778
vehicle,randomforest,ZScore,clip,1,6,0.7592592592592593
vehicle,randomforest,ZScore,clip,1,7,0.8333333333333334
vehicle,randomforest,ZScore,clip,1,8,0.6851851851851852
vehicle,randomforest,ZScore,clip,1,9,0.7962962962962963
vehicle,randomforest,ZScore,clip,2,0,0.8333333333333334
vehicle,randomforest,ZScore,clip,2,1,0.7222222222222222
vehicle,randomforest,ZScore,clip,2,2,0.8148148148148148
vehicle,randomforest,ZScore,clip,2,3,0.8148148148148148
vehicle,randomforest,ZScore,clip,2,4,0.6296296296296297
vehicle,randomforest,ZScore,clip,2,5,0.7037037037037037
vehicle,randomforest,ZScore,clip,2,6,0.7222222222222222
vehicle,randomforest,ZScore,clip,2,7,0.6111111111111112
vehicle,randomforest,ZScore,clip,2,8,0.7592592592592593
vehicle,randomforest,ZScore,clip,2,9,0.7407407407407407
