dataset,model,detector,treatment,run,fold,score
credit-g,mlp_deep,ZScore,clip,0,0,0.65625
credit-g,mlp_deep,ZScore,clip,0,1,0.71875
credit-g,mlp_deep,ZScore,clip,0,2,0.71875
credit-g,mlp_deep,ZScore,clip,0,3,0.640625
credit-g,mlp_deep,ZScore,clip,0,4,0.71875
credit-g,mlp_deep,ZScore,clip,0,5,0.703125
credit-g,mlp_deep,ZScore,clip,0,6,0.765625
credit-g,mlp_deep,ZScore,clip,0,7,0.703125
credit-g,mlp_deep,ZScore,clip,0,8,0.734375
credit-g,mlp_deep,ZScore,clip,0,9,0.65625
credit-g,mlp_deep,ZScore,clip,1,0,0.671875
credit-g,mlp_deep,ZScore,clip,1,1,0.6875
credit-g,mlp_deep,ZScore,clip,1,2,0.59375
credit-g,mlp_deep,ZScore,clip,1,3,0.703125
credit-g,mlp_deep,ZScore,clip,1,4,0.75
credit-g,mlp_deep,ZScore,clip,1,5,0.796875
credit-g,mlp_deep,ZScore,clip,1,6,0.6875
credit-g,mlp_deep,ZScore,clip,1,7,0.71875
credit-g,mlp_deep,ZScore,clip,1,8,0.65625
credit-g,mlp_deep,ZScore,clip,1,9,0.625
credit-g,mlp_deep,ZScore,clip,2,0,0.65625
credit-g,mlp_deep,ZScore,clip,2,1,0.53125
credit-g,mlp_deep,ZScore,clip,2,2,0.625
credit-g,mlp_deep,ZScore,clip,2,3,0.828125
credit-g,mlp_deep,ZScore,clip,2,4,0.734375
credit-g,mlp_deep,ZScore,clip,2,5,0.6875
credit-g,mlp_deep,ZScore,clip,2,6,0.796875
credit-g,mlp_deep,ZScore,clip,2,7,0.78125
credit-g,mlp_deep,ZScore,clip,2,8,0.765625
credit-g,mlp_deep,ZScore,clip,2,9,0.640625
