dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,0,0.834375
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,1,0.8703125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,2,0.83125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,3,0.8453125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,4,0.83125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,5,0.8515625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,6,0.83125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,7,0.8421875
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,8,0.85
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0,9,0.8421875
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,0,0.834375
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,1,0.85625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,2,0.8375
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,3,0.8359375
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,4,0.8390625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,5,0.828125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,6,0.86875
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,7,0.8125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,8,0.840625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,1,9,0.846875
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,0,0.8328125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,1,0.8234375
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,2,0.828125
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,3,0.85625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,4,0.840625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,5,0.821875
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,6,0.8546875
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,7,0.8359375
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,8,0.840625
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,2,9,0.8546875
