dataset,model,detector,treatment,run,fold,score
cmc,mlp_deep,ZScore,clip,0,0,0.5473684210526316
cmc,mlp_deep,ZScore,clip,0,1,0.5052631578947369
cmc,mlp_deep,ZScore,clip,0,2,0.5425531914893617
cmc,mlp_deep,ZScore,clip,0,3,0.5319148936170213
cmc,mlp_deep,ZScore,clip,0,4,0.5531914893617021
cmc,mlp_deep,ZScore,clip,0,5,0.6063829787234043
cmc,mlp_deep,ZScore,clip,0,6,0.5106382978723404
cmc,mlp_deep,ZScore,clip,0,7,0.5957446808510638
cmc,mlp_deep,ZScore,clip,0,8,0.5106382978723404
cmc,mlp_deep,ZScore,clip,0,9,0.5957446808510638
cmc,mlp_deep,ZScore,clip,1,0,0.5578947368421052
cmc,mlp_deep,ZScore,clip,1,1,0.5789473684210527
cmc,mlp_deep,ZScore,clip,1,2,0.5851063829787234
cmc,mlp_deep,ZScore,clip,1,3,0.6170212765957447
cmc,mlp_deep,ZScore,clip,1,4,0.5425531914893617
cmc,mlp_deep,ZScore,clip,1,5,0.5531914893617021
cmc,mlp_deep,ZScore,clip,1,6,0.5212765957446809
cmc,mlp_deep,ZScore,clip,1,7,0.6276595744680851
cmc,mlp_deep,ZScore,clip,1,8,0.5106382978723404
cmc,mlp_deep,ZScore,clip,1,9,0.4574468085106383
cmc,mlp_deep,ZScore,clip,2,0,0.5578947368421052
cmc,mlp_deep,ZScore,clip,2,1,0.5473684210526316
cmc,mlp_deep,ZScore,clip,2,2,0.48936170212765956
cmc,mlp_deep,ZScore,clip,2,3,0.5425531914893617
cmc,mlp_deep,ZScore,clip,2,4,0.48936170212765956
cmc,mlp_deep,ZScore,clip,2,5,0.5638297872340425
cmc,mlp_deep,ZScore,clip,2,6,0.5106382978723404
cmc,mlp_deep,ZScore,clip,2,7,0.5319148936170213
cmc,mlp_deep,ZScore,clip,2,8,0.6063829787234043
cmc,mlp_deep,ZScore,clip,2,9,0.6063829787234043
